key,country,description,designation,points,price,province,region_1,region_2,variety,winery
742,Argentina,"Narrow berry aromas are angular and punchy. This feels high in acidity, with hard tannins. That sharp acidity makes for tart unyielding black plum flavors.",Eggo Tinta de Tiza,85,30,Mendoza Province,Tupungato,,Bordeaux-style Red Blend,Zorzal
746,Argentina,"This Pinot Noir-heavy sparkler opens with aromas of briny citrus and bready yeast. The palate is fresh and low on weight, with a dominating flavor of pink grapefruit. Overall, this is basic but easy to drink.",Cruzat Brut Rosé Méthodo Tradicional,85,15,Mendoza Province,Valle de Uco,,Sparkling Blend,Cruzat
900,Argentina,"The color of this Malbec and the legs it gives off help separate it from the pack. A plush nose shows unabsorbed oak and char along with deep berry and cassis notes. Total saturation on the palate matches the nose, and this tastes of chocolate, mocha, wood spice and rich berry fruits. Oak is currently speaking the loudest on the finish. Drink through 2023.",Bramare,93,40,Mendoza Province,Valle de Uco,,Malbec,Viña Cobos
999,Argentina,"Dusty plum and berry aromas are clean. In the mouth, this is hard and wiry. Salty snappy plum flavors dry out and taste a bit like tin on a raw finish.",,85,11,Mendoza Province,Mendoza,,Malbec,Proemio
1007,Argentina,"A mix of blueberry, plum and animal aromas leads to a wiry, clipped palate fueled by tartaric acid. Lightly salted plum flavors are slightly jammy, while a blueberry note is brought back on the finish.",Punto Final MLB,85,12,Mendoza Province,Mendoza,,Malbec,Bodega Renacer
1057,Argentina,"This is lightly perfumed with green melon, lychee and papaya aromas. The palate is middle of the road in terms of acidity and snap. Flavors of lychee, peach and nectarine are typical of the variety, while the finish is plump and smooth.",Broquel,88,18,Other,Cafayate,,Torrontés,Trapiche
1059,Argentina,"Smooth, earthy, lightly herbal aromas are balanced by fresh red-berry notes. This feels racy and lean in the mouth, with nothing fat or grabby getting in the way of steady raspberry, plum and herbal flavors. A note of olive and leafy green rises up on the finish.",Reserva,88,29,Other,Alto Valle del Río Negro,,Cabernet Franc,Verum
1064,Argentina,"Quara makes good, true Cafayate Torrontés. Aromas of lychee, citrus, tropical fruits and bath oils are vital. This remains solid and clean, with upright acidity. Lime, mango, lychee and banana flavors finish round, with just enough acidity to maintain the wine's character. Drink immediately.",Estate Bottled,88,12,Other,Cafayate,,Torrontés,Quara
1183,Argentina,"Ripe but subtle aromas of aged balsamic vinegar, blackberry, baked plum and vanilla are alluring and feed into a flush layered palate. Spicy black plum and berry flavors are just rustic and toasty enough, while this blend of 85% Cabernet Sauvignon with Cab Franc and Merlot tastes peppery, deep, a touch hot and on the money. Drink from 2018–2026.",Gala 2,93,38,Mendoza Province,Mendoza,,Cabernet Blend,Luigi Bosca
1264,Argentina,"Eight years down the line and this Malbec shows the flaws caused by a harvest marred by freezes. This smells like a mix of green bean and jammy boysenberry. The palate feels saturated but soupy, with outsize acidity. Green-herb flavors mix with baked plum and blueberry, while the finish feels sticky, tannic and heavy.",Don Antonio Grand Reserva,85,35,Mendoza Province,Mendoza,,Malbec,Antonio Gonzalez
1279,Argentina,"Dusty, generic plum and berry aromas are highly regular. This Malbec is chunky in feel, without much precision. Oaky buttery slightly greasy berry flavors finish hot and creamy, with little to no elegance or cut.",,85,13,Mendoza Province,Mendoza,,Malbec,Laberinto
1305,Argentina,"This friendly wine offers fresh, jammy berry and cherry aromas. The palate has a bit of grit and stickiness to it, while blackberry, black cherry and boysenberry flavors are ripe, sweet, not pushy and ultimately satisfying.",Trumpeter,87,11,Mendoza Province,Mendoza,,Malbec,Rutini
1306,Argentina,"Jammy, soft blueberry aromas are a touch green. This is syrupy, heavy and sticky on the palate, with chocolate, prune and peppery flavors. Tannic and heavy on the finish, this is an overweight Malbec that's lush to the point of being fat.",Premium,87,38,Mendoza Province,Mendoza,,Malbec,Sur de los Andes
1307,Argentina,"Floral berry, earth and tea aromas are friendly. This Pinot is fresh and perky in feel, with red-fruit and tomato-like acidity pushing flavors of dry cherry, mixed spices, herbs and tomato. This finishes spunky, with crisp acidity and peppery overtones.",Broquel,87,18,Mendoza Province,Mendoza,,Pinot Noir,Trapiche
1383,Argentina,"Candied red-berry aromas are pasty at first, with a twinge of green. In the mouth, this is wiry and jammy feeling, with juicy acids. Herbal, slightly green flavors of olive, toast and berry fruits finish minty and a bit hot.",Reserve,88,21,Mendoza Province,Mendoza,,Cabernet Sauvignon,Pascual Toso
1392,Argentina,"Raspberry and plum aromas start with a resiny oak covering that turns foresty and briary with airing. This is raisiny and ripe in feel, with a complex mix of berry, fennel and anise flavors. A lush, dense-feeling finish is minty and herbal.",Callejon del Crimen Gran Reserva,88,28,Mendoza Province,Uco Valley,,Malbec,Finca La Luz
1477,Argentina,"This is an unusual, exotic take on Malbec. The bouquet delivers cardamom, sandalwood and spiced black currant aromas. In the mouth, it's grabby with pinching tannins. Blueberry and cardamom flavors end ripe, with decent follow through. Drink now.",Altísimo,90,30,Mendoza Province,Uco Valley,,Malbec,Ricominciare
1480,Argentina,"Ripe borderline raisiny aromas include earth, cedar and graphite scents. This is concentrated, grabby and fully extracted. Flavors of jammy black fruits blend with spicy saucy notes prior to a finish with flavors of tomato, herbs, salt and gamy meat. Firm acidity guarantees this will last at least another five years before falling off.",Catena,90,24,Mendoza Province,Mendoza,,Malbec,Bodega Catena Zapata
1536,Argentina,Gritty aromas suggest burnt popcorn and match stick. This is a round oily style of Torrontés with briny tropical fruit flavors. A salty note of persimmon carries an O.K. finish.,Premium Series,85,16,Other,La Rioja,,Torrontés,Solo Contigo
1538,Argentina,"Aromas of roasted but slightly weedy berry fruits, road tar and latex precede a raw shallow pulling palate. This Malbec tastes of salty and savory black plums, tomatoes and herbs. On the finish, this delivers mostly spaghetti-sauce flavors.",Clásico,84,12,Mendoza Province,Mendoza,,Malbec,Altos Las Hormigas
1545,Argentina,"Floral berry and plum aromas are also saucy and oaky, and thus discordant. A wobbly tannic palate with green herbal oaky blueberry flavors tastes grassy on the finish. If you know Casarena's wines, this fits the mold.",505 Esencia,84,12,Mendoza Province,Mendoza,,Bordeaux-style Red Blend,Casarena
1552,Argentina,Low-intensity apple and pear aromas lead to a tight high-acid mouth. Severe flavors of lemon and lime are fairly sour. A long direct finish is linear and shearing.,Ji Ji Ji Finca Villa Seca Gen Fuerza Tranquila,84,17,Mendoza Province,Tupungato,,Chenin Blanc,Gen Del Alma
1555,Argentina,"Jammy jumbled foxy aromas set up a blocky flat palate. Greasy flavors of buttered-up berry fruits finish without much verve. This is good enough, but just barely.",,84,17,Mendoza Province,Vista Flores,,Malbec,Antucura
1596,Argentina,"Berry and plum aromas are spicy and saucy, with secondary notes of tomato and oregano. Snappy on the palate, this live-wire Malbec is a bit aggressive and acidic. Toasty oak and mint flavors accent fresh red-berry fruit prior to an energetic yet woody finish that's raw feeling but fair.",Reserve,87,18,Mendoza Province,Mendoza,,Malbec,Ferllen
1605,Argentina,"Aromas of bath oil and exotic fruits like lychee and mango come in front of a short, simple palate that's fresh. Lychee and mango flavors finish in tropical style, with a mild soapy note. The wine is varietally correct and well done.",,87,12,Mendoza Province,Mendoza,,Torrontés,Cuatro Vacas Gordas
1699,Argentina,"Pine and other green-leaning aromas blend with lychee and exotic soapy scents to lay the path for a round palate with tropical flavors of lychee, melon and star anise. The finish is full, citrusy and generous.",,88,15,Other,Calchaquí Valley,,Torrontés,Colomé
1775,Argentina,"Toasty blackberry and prune are the key aromas on this plush Cabernet. A generous mouthfeel includes choppy tannins that will mellow in due time. Dark flavors of cassis and blackberry include spice and chocolate notes, while this finishes with ripe flavors of blackberry touched up by chocolaty oak. Drink this calm, slightly flabby Cab through 2021.",Big Bat,92,50,Mendoza Province,Mendoza,,Cabernet Sauvignon,Mascota
1823,Argentina,"Compact aromas of red berries get a boost from oak-based coconut, cedar and graphite notes. This is a blend of three Malbec vineyards of varying elevations; it's bursting with acidity, while high-toned plum and currant flavors are a touch salty. A lively, fiery finish is fueled by latent acidity. Drink through 2020.",Terroir Blend,90,30,Mendoza Province,Luján de Cuyo,,Malbec,Nieto Senetiner
1834,Argentina,"Horsey plum and pie cherry aromas include a whiff of latex gloves and Band-Aid. This feels rather raw and acidic, with bite. Salty sharp red-fruit flavors finish herbal, with tartaric shear.",[+],84,11,Mendoza Province,Mendoza,,Cabernet Sauvignon,Santa Julia
1842,Argentina,"Wiry herbal aromas of blueberry and currant lead to an acidic citrusy palate that's choppy and a bit rough. Quick-hitting plum and currant flavors are herbal before hollowing out on a zesty, tannic finish.",Ampakama,84,11,Other,San Juan,,Syrah,Casa Montes
1850,Argentina,"Rudimentary aromas of lemon-lime and apple set up a flat palate. This tastes of dried apricots before turning decidedly bitter. On the finish, flavors of dried white fruits are modest.",Casa Bianchi Brut Traditional Method,83,,Mendoza Province,Mendoza,,Champagne Blend,Valentin Bianchi
1851,Argentina,"Flat and fruitless up front, this smells a bit like a haystack. Plump on the palate, with a sense of grape skins to the mouthfeel, this tastes yeasty, mildly bitter and of nonspecific white fruits.",,83,15,Mendoza Province,Mendoza,,Sauvignon Blanc,Viejo Isaias
1859,Argentina,"Raisiny aromas lack freshness and lift. Following that lead, this Cabernet feels stewy and heavy, with questionable balance. Herbal flavors of stewed plum and tomato finish chunky and choppy.",505,83,12,Mendoza Province,Mendoza,,Cabernet Sauvignon,Casarena
1898,Argentina,"Raspberry and plum aromas are woody and narrow in scope. This Cabernet is medium in body but also a bit sticky and resiny. Candied blackberry and black cherry flavors are slightly medicinal, while the finish is oaky, with a lactic flavor and a touch of heat.",Reserva de Familia,87,20,Mendoza Province,Mendoza,,Cabernet Sauvignon,Los Haroldos
1902,Argentina,"Herbal and foresty up front, this Bordeaux blend smells of fig, caramel and berry fruits. Big, tannic and chunky on the palate, this has toasty, chocolaty, burnt flavors and a blackened finish. This offers a lot of power and fruit but it's brusk.",Cavas de Crianza,87,19,Mendoza Province,Mendoza,,Bordeaux-style Red Blend,Clos de Chacras
1984,Argentina,"Jammy cassis, blackberry and foxy aromas define the nose on this lush, almost ponderous blend of Malbec, Bonarda and Petit Verdot. There's flatness to the palate along with flavors of blackbery, plum and dark, minty oak. A heavy, grabby finish is bold and voluminous.",Terroir Series Corte Malbec-Bonarda-Petit Verdot,88,18,Mendoza Province,Mendoza,,Red Blend,Kaiken
1988,Argentina,"There's a mix of herbal aromas and raisin on this blend of Malbec, Merlot, Cab Sauvignon and Syrah. In the mouth, it's edgy and rubbery, with rock-hard tannins. Flavors of baked black fruits, tobacco and citrus peel finish raw and rubbery. This will need a lot of air and also hearty  food to show its better side.",Grand Reserve Winemaker's Selection,88,25,Mendoza Province,Mendoza,,Red Blend,Proemio
2135,Argentina,"Unconvincing aromas are hard to describe. This Malbec sparkler is coarse and foamy on the palate, with burnt peppery slightly bitter flavors of orange and grapefruit.",Private Collection Malbec Brut Rosé,83,23,Mendoza Province,Mendoza,,Sparkling Blend,Kunza
2140,Argentina,"Sharp red-fruit aromas include notes of vinegar and asphalt. Angular and bumpy on the palate, this is tart and foxy tasting, with a sour, herbal finish.",,82,8,Other,Argentina,,Malbec-Bonarda,Lost Vineyards
2142,Argentina,This gold-colored stale-smelling Torrontés smells like old apple juice. A chunky flat palate offers bland oxidized bitter flavors. Remnants of apple barely help a bitter finish.,,81,12,Mendoza Province,Mendoza,,Torrontés,Cuatro Vacas Gordas
2143,Argentina,"This blend smells outright herbaceous and weedy. An astringent volatile palate is grating, while this tastes much like it smells: weedy and green.",Paisaje de Barrancas,81,18,Mendoza Province,Mendoza,,Red Blend,Finca Flichman
2184,Argentina,"Earthy, spicy aromas of juniper, bell pepper and oak cover up slightly underripe berry scents. This has an acceptable level of tannic scratch and peppery, herbal berry fruit flavors. Like the rest of this Cab, the finish is lightly herbal, green-leaning and hard.",Reserva,86,19,Mendoza Province,Mendoza,,Cabernet Sauvignon,Ruca Malen
2272,Argentina,"Lean, green and mild, it's aromatically earthy and low on fruit. In the mouth, it's medium-bodied, with herbal, raspberry and red plum flavors. Peppery spice, a green note and raw heat drive the finish.",Don Juan Nahuel,87,32,Mendoza Province,Mendoza,,Malbec,Cielo y Tierra
2343,Argentina,"Dense mossy aromas of blackberry are slightly murky. Forget about delicacy on the palate, this is full-bodied and clattering. Blackberry, cassis, black cherry and chocolate flavors finish spicy. This is at maximum ripeness. Drink through 2022.",Bramare,92,40,Mendoza Province,Luján de Cuyo,,Malbec,Viña Cobos
2352,Argentina,"Dense aromas of fig, prune, cassis and blackberry are more mellow than monstrous. In the mouth, this Cabernet feels chunky, ripe and fully tannic. Savory berry fruit flavors and notes of cured meats and jerky finish a bit flat, with a lasting flavor of oaky chocolate. Drink through 2022.",Reserva,92,40,Mendoza Province,Mendoza,,Cabernet Sauvignon,Las Vertientes
2481,Argentina,"After a huge blast of mocha opens the show, there isn't a lot hiding behind the curtain. The palate is big, sticky and rubbery in feel, while flavors of baked berry, chocolate, oak and coffee finish chewy but also briny and herbal.",Punto Final Reserva,86,21,Mendoza Province,Mendoza,,Malbec,Bodega Renacer
2588,Argentina,"Slightly baked aromas of raisin, blackberry and caramel are deep and dense more than bright. This Malbec blend is well built, with spicy flavors of berry fruits and cocoa. The oak on the finish is toasty and leads to dryness and a sense of fineness. Drink through 2023.",Gala 1,92,38,Mendoza Province,Mendoza,,Malbec Blend,Luigi Bosca
2698,Argentina,"This ripe Malbec offers jammy blueberry aromas that hint at raisin but pull back in the nick of time. A round pulpy palate is home to black cherry, berry and plum flavors supported by loamy earthy notes. A fleshy finish isn't exact but it's friendly. Drink through 2019.",La Madras Vineyard,90,20,Mendoza Province,Mendoza,,Malbec,Ricardo Santos
2941,Argentina,"Lychee and melon aromas are proper for Torrontés. And while this has Viognier and Chardonnay in the blend, it's Torrontés that dominates via a spritzy, citrusy mouthfeel and flavors of lychee, nectarine and citrus fruits. A fresh, lively but simple finish confirms the wine's refreshment potential.",Amado Sur Torrontés-Viognier-Chardonnay,87,15,Mendoza Province,Mendoza,,White Blend,Trivento
2946,Argentina,"Subtle aromas of minerals, rose petal and red berry are not overdone. In the mouth, it has astringency, hard tannins and an overall narrow feel. Flavors of raspberry and red plum seem sharp and jagged, while oaky mint and heat rise up on the finish. Give this more bottle time and it may improve.",Reserva,87,39,Mendoza Province,Uco Valley,,Malbec,Puramun
2952,Argentina,"Lemon, lychee and a slight oily character create a familiar Torrontés bouquet. A plump body is balanced by citrusy acidity, while flavors of tangerine, mango, passion fruit and lychee finish a touch heavy but vertical. Drink right away.",Phebus,87,12,Mendoza Province,Mendoza,,Torrontés,Fabre Montmayou
2954,Argentina,"Saucy, scratchy aromas suggest road tar and compost. This wine is wide in feel, with peppery, spicy raspberry and plum flavors. A minty, herbal tasting finish is neither overbearing nor oaky.",Callejon del Crimen Gran Reserva,87,28,Mendoza Province,Uco Valley,,Cabernet Sauvignon,Finca La Luz
2976,Argentina,"Primary aromas of black cherry and cassis come with minerally notes, herbal hints and a drop of iodine. This feels good but narrow, while saucy, lightly herbal berry flavors end with tolerable saltiness. Drink through 2019.",Grand Reserve Limited Production,89,22,Mendoza Province,Luján de Cuyo,,Malbec,Piattelli
3067,Argentina,"Dark, rubbery, generic berry aromas are a touch cheesy but full. This feels tannic and roasted, while flavors of cassis and berry come across lightly herbal and baked.",Reserva,86,13,Mendoza Province,Mendoza,,Cabernet Sauvignon,Fat Gaucho
3073,Argentina,"Tropical, floral aromas are modest but enchanting. Plump and balanced on the palate, this blend tastes a bit yeasty and creamy, with green banana and herbal infusions. A floral finish shows a touch of bitterness.",Roca,86,11,Mendoza Province,Mendoza,,Chenin Blanc-Chardonnay,Alfredo Roca
3085,Argentina,"Saucy aromas of molasses, baked beans, tomato and asphalt are gritty. Ditto the palate, which is snappy and hard around the edges. Flavors of leafy, spicy plum and cherry are mildly green and herbal, as is the finish.",Premium Reserve,86,16,Mendoza Province,Luján de Cuyo,,Cabernet Sauvignon,Piattelli
3258,Argentina,"This Malbec-led blend opens with inky, hard-packed aromas of black fruits and grilled meats. The palate is on the rough and tough side, while flavors of ripe black fruits are intertwined with strong oak and spice. Overall, this is ripe, bold and heavy.",Petite Fleur,89,25,Mendoza Province,Uco Valley,,Red Blend,Monteviejo
3266,Argentina,"Initially, this blend of Malbec, Cabernet Sauvignon and Tannat smells murky, leathery and nutty, but with airing it settles and cleans up. Chunky and close to being oversaturated, this full-bodied red tastes of loamy berry and raisin, while the finish is weighty.",Gran Reserva,89,35,Mendoza Province,Mendoza,,Red Blend,Septima
3366,Argentina,"Powdery lychee and crystallized mango aromas feed into a texturally good palate with mild oily notes and good acidity. Orange, mango and lychee flavors are straight from the textbook, while lychee is the clearest lasting flavor on the finish. Drink with Indian or spicy Asian foods.",,86,14,Mendoza Province,Mendoza,,Torrontés,Tercos
3374,Argentina,"Oaky up front, with aromas of animal, tar and medicinal red-berry fruits, this Petit Verdot is grabby and hard in feel, with a mix of oak, cough drop, berry and peppery flavors. It's big and sticky but solid on the finish.",Reserva,86,15,Mendoza Province,Mendoza,,Petit Verdot,Gauchezco
3605,Argentina,"Plum and berry aromas are mildly jammy. This is fast moving on the palate, with racy acidity pushing berry flavors that veer toward tartness but pull back in time. An aggressive finish is also almost sour but not, while oaky coffee and bitter chocolate flavors wrap it up.",Reserve Made with Organic Grapes,87,17,Mendoza Province,Tupungato,,Cabernet Sauvignon,Domaine Jean Bousquet
3608,Argentina,"Spunky, youthful aromas of wild berry and currant are aggressive but fresh in style. This is a juicy, forward, bright Malbec with boysenberry flavors followed by a short wave of bitter chocolate and toast. It finishes in the same style.",Barrel Select,87,14,Mendoza Province,Mendoza,,Malbec,Bodega Norton
3616,Argentina,"This is a more rustic, woody Cabernet than many from Mendoza. The nose suggests asphalt, herbs and spice more than bright fruit. A tannic yet solid body and flavors of coffee, herbs lead to a finish that tastes dry and a bit hollow, with coffee and cocoa notes.",Cavas de Crianza,87,19,Mendoza Province,Mendoza,,Cabernet Sauvignon,Clos de Chacras
3761,Argentina,"Ripe grapy aromas are more chunky than mammoth. Saturated and muscular on the palate, this tastes of roasted salty blackberry, while the finish is full and meaty in both flavor and texture. Drink this stout full-bodied Malbec through 2022.",Terroir Selection,91,30,Mendoza Province,Mendoza,,Malbec,Alta Vista
3763,Argentina,"Ripe blackberry and cassis aromas are toasty at first, then charred as this breathes. A big grabby palate is muscled up but welcoming. Toasty blackberry and cassis flavors remain charred on a loaded lengthy finish. This is Malbec and Petit Verdot fermented and aged together. Drink through 2022.",Co Fermented,91,49,Mendoza Province,Valle de Uco,,Malbec-Petit Verdot,Puramun
3881,Argentina,"Crisp minerally aromas of cherry and blackberry come with toasty spicy accents. This is a tightly built full-bodied Cab with lightly herbal, moderately oaky and saucy flavors of berry and plum. A dry, spicy finish provides for a strong ending.",Estate,89,20,Mendoza Province,Mendoza,,Cabernet Sauvignon,Alta Vista
3882,Argentina,"Strong blackberry aromas come with hints of wood smoke, graphite and minerality. On the palate, it is high in acidity and a touch scouring, but also fresh and lively. Common blackberry and toasty oak flavors end fresh and crisp, but short.",La Mascota,89,15,Mendoza Province,Mendoza,,Malbec,Mascota
3903,Argentina,"Crusty and showing hard spice notes, this opens with staunch aromas. A narrow, pinching palate offers herbal, green-leaning flavors of currant and briary berry. Oak-based chocolate and herbal flavors finish long and strong.",Don David Finca La Urquiza #8,87,23,Other,Cafayate,,Cabernet Sauvignon,Michel Torino
3929,Argentina,"Neutral aromas and a mouthfeel with modest lemony acidity set up pithy citrus flavors and notes of green melon and lychee. The finish on this tropical-tasting wine is creamy and a bit heavy, with lime and green banana flavors. Drink right away.",Reserva,86,12,Other,Salta,,Torrontés,Finca El Origen
4010,Argentina,"Brawny, toasty aromas prop up a sturdy oaky nose with a familiar dark-berry core. This Malbec is tightly wound, with wiry acidity. Flavors of blackberry, cassis, spiced plum, chocolate and cardamom finish earthy and mellow, with a lingering note of exotic spice. Drink through 2022.",Terroir Series Edición Limitada Finca las Piedras,91,45,Mendoza Province,Uco Valley,,Malbec,Trapiche
4024,Argentina,"Initially this smells earthy and rubbery, but with airing it shows roasted dark-berry aromas mixed with horsey leather. The palate is full, tannic and scratchy, with black-fruit flavors, pepper, toast and herbal notes. Toast and coffee flavors are found on a hard, tannic finish. Tasted twice with mixed results.",Reserve,85,15,Mendoza Province,Mendoza,,Syrah,Caligiore
4035,Argentina,"Mango, papaya and vanilla aromas are lightly tropical and chunky. The palate is plump and fair. Flavors of green melon, papaya and mixed tropical fruits finish steady and with a reprise of leesy, yeasty vanilla.",Cool Climate Selection,85,14,Mendoza Province,Mendoza,,Pinot Grigio,Argento
4040,Argentina,"Mint and graphite aromas make for a cool nose on this 50/50 Malbec-Cabernet Sauvignon. Rubbery tannins mixed with extracted berry flavors create more noise than poise on the palate. A spicy, herbal, chocolaty finish is punchy and borderline punishing.",Special Blend Reserva,85,22,Mendoza Province,Mendoza,,Malbec-Cabernet Sauvignon,Cinco Sentidos
4047,Argentina,"Berry and cassis aromas turn more saucy with airing. This has a sticky mouthfeel with protruding acids, while flavors of plum and citrus finish short. This is good if you're looking for the basics.",Reserve,85,13,Other,Patagonia,,Cabernet Sauvignon,Restivo
4088,Argentina,"Boysenberry and exotic notes of all-spice and cardamom set this Malbec apart from the field. In the mouth, this is typically angular, with sharp acidity and not much cushion. A one-note, linear flavor of rooty plum is neither fruity nor dry, while the finish fails to rise or fall; it just hums along on a singular beam of acid. Drink from 2018–2030.",Apartado Gran,89,100,Mendoza Province,Mendoza,,Malbec,Rutini
4211,Argentina,"Firm dark-berry aromas come with cola and leafy notes that feel tannic and gripping but alive. Big berry and black plum flavors are leafy and spicy in style. It finishes tight, but should open and relax with a bit of time in the glass, and would go well with pizza and burgers.",Portillo Estate Bottled,86,11,Mendoza Province,Uco Valley,,Cabernet Sauvignon,Salentein
4334,Argentina,"Initial charred aromas yield to aggressive cherry and maple scents. This is a wide, fully tannic load of a Malbec with toasty flavors of burnt wheat bread and maple to go with blackberry and cassis. Toast remains on the finish, which also tastes of licorice. Drink through 2023.",Terroir Los Miradores,91,30,Mendoza Province,Mendoza,,Malbec,Luigi Bosca
4351,Argentina,"Berry and cassis aromas turn more saucy with airing. This has a sticky mouthfeel with protruding acids, while flavors of plum and citrus finish short. This is good if you're looking for the basics.",Reserve,85,13,Other,Patagonia,,Cabernet Sauvignon,Restivo
4356,Argentina,"This round, sticky blend smells burnt and like underbrush, and is very woody, with milk chocolate and plastic aromas. Thick and sticky on the palate, with lactic oak, sweet spice, carob and berry flavors, this is dominated by creamy oak and generic fruit.",Terroir Series Corte Malbec-Cabernet-Petit Verdot,85,15,Mendoza Province,Mendoza,,Red Blend,Kaiken
